id,job_title,company,description,city,location,apply_link
ZWJPLWlTT2hTd2N4TlMtT0FBQUFBQT09OkVzd0JDb3dCUVVwcFZEUjBTakZhVTFaNWFFbGhTbUV4WldGRE56bHdhbXR4UjNKNWEwWmZlbEZMVG5JM1MxWkJjM1J3WVVJd1RIUTNZMFZ1VVdjMU1FbFhWRVl6ZUZOa1FrSmxhMmxPT1VOMlFWaEdWVXRCVERSd1RHRkNRVTlSUzFwSFVtdDBNamh5Uld4bU9GTjRkbVpzY1c4NVMzRlhZMng2VjE5NmNFcFdia0ZDUjFSVWFrdGlSR2xMTWsxcmRsZ1NGMHR2V205aGRpMHpRVGR0V0hKMVJWQjNZMTltTFVGUkdpSkJSSE55T1daVFVYcFZaWE53WHpGVWFtWjBMV1ZGT0hGcU1tMUhNMWxJVDBKQg,Part-Time Software developer (Weekend) – Temporary Opening,GravityIntel,"Part-Time QA & Platform Support (Weekend) – Temporary Opening

Overview

We are hiring for a temporary, software developer support role for our platform.

This position requires up to 6 hours / week o...",McKinney,"McKinney, TX",https://bebee.com/us/jobs/part-time-software-developer-weekend-temporary-opening-gravityintel-mckinney-tx--t7xk-770878742
YUdzR0czSzFCUHFqZDBJUEFBQUFBQT09OkVzd0JDb3dCUVVwcFZEUjBTVzVWZFdZeVJYUkJRbFZhT1hWR2J6Um5iRk5SV0Y5bFJrdFVVVGxEVVhrdGFWOUdSMHcyVmpSdlptdHpVRGh0YlVWNE1UZzNjVzlMUjJsMVkzWXpiVjlrY0Y5MVFtSnRUSGR3VUZwblVuUk5WMGN6U1hwb1VWTlpSMVo0UTJsRE4ybFRkeTEyZFhoNFgyTnNlWEpoYzE5bFdITnhSbnAzTjJ0bFZYTmlXRWRaUWpCYU1Fa1NGMHR2V205aGRpMHpRVGR0V0hKMVJWQjNZMTltTFVGUkdpSkJSSE55T1daVFJDMTFhalkxVm1kVllVeEdiMDVRZFRGelgxRkRPV05qUWpOMw,Software Engineering Tutor,"Varsity Tutors, a Nerdy Company","About The Job

The Varsity Tutors Live Learning Platform has thousands of students looking for online Software Engineering tutors nationally. As a tutor on the Varsity Tutors Platform, you'll have the...",McKinney,"McKinney, TX",https://www.linkedin.com/jobs/view/software-engineering-tutor-at-varsity-tutors-a-nerdy-company-4445665040
RWp3SGpzNXd2VnNoSS1zMEFBQUFBQT09OkVzd0JDb3dCUVVwcFZEUjBTamwxVEd0TWVYQlNVVGhhWjNGQlEzZHdTVnBJWnprMFlqWmxiV1ZWVkZNNGJsZENSbVJHTXpSc09IRlJkR1p0VEhrME5qSmlhRFk1UzJ4QmRsYzRVVTV0T1hKRVIzaFZablpQUkdSMldteGhhaTFtVXpWdlNTMU1ibGxpTlhwTGJIQlpRemczVW5KNVlrMWlUblYzVlZOamVHcHlNMEY2VkU1eVZsOUxkbTF5UldaaGMxY1NGMHR2V205aGRpMHpRVGR0V0hKMVJWQjNZMTltTFVGUkdpSkJSSE55T1daVFRHcFpaR2xGUkRsYVpuVnlZVGxuTUVZMlMyOVpRVEpuV2taQg,Defense Software Engineering Co-op - Student,CAE USA,A global technology and training company is looking for Software Engineering/Computer Science students eager to assist with various software-related tasks. Responsibilities include providing technical...,Arlington,"Arlington, TX",https://talents.vaia.com/companies/cae-usa/arlington/defense-software-engineering-co-op-student-75791541/
clhjTHpWRWlCeDAyZkZNdUFBQUFBQT09OkVzd0JDb3dCUVVwcFZEUjBTV0U1VFhkSmQxQmFWVVZJYW1JeWFYQjNNMnBUUnkxcVFWUkNjSGRyTlRKbllsUTVkVms0ZFdKc2FETlZlWFEyYVVsWFNtaDBRa2xEVmtaMlMxUldiVGxFUlZKTmEwUkpVMHR6UkhnMWMwUXhSRVU0UmtWbFYwZG9hemRxV0dReVQzTm1XVE4zY2pGRFExbFZOV1o0ZEZsWE16Wk1VSHBpUkMxV1FXSkJZVUZKVVMxb09YTVNGMHR2V205aGRpMHpRVGR0V0hKMVJWQjNZMTltTFVGUkdpSkJSSE55T1daU1EyaHhWSGxaTjFoM1QweENiR2hWY0ROWE1IQkVSMWcxUkhCQg,Software Support Intern,Tyler Technologies,Software Support Intern,Plano,"Plano, TX",https://www.fastweb.com/career-planning/internships/170147-software-support-intern
Vjd1T1FaaUxMRml2ZjBIckFBQUFBQT09OkVzd0JDb3dCUVVwcFZEUjBURTFZVkU1S05FOVpNVFJ2TURCdVdVeGZXak5XYUU5bmNVZG1RMVY1VEU1TWVUVnlabmxXYWtaMlQwczFVMlpmYm05U00wOUNaWEk1YjBoNE56ZENOVTQzVEhkelQxVm1RMUJsUVdkblpYUnFjMFZCYkdKNFozaHpRMEpaUkdzeWVsOU5WWGxWV1RGU1prVkdSWFpFTTNGRFpVbE1TVFZJT0dkb1JXdE1jVzU1Umt4a2FtTVNGMHR2V205aGRpMHpRVGR0V0hKMVJWQjNZMTltTFVGUkdpSkJSSE55T1daUldGVlhabTFaYlRSYVNURkpNSFpWVUd0MWIzRmxhRlp3WjJ4Qg,"Intern, Software Engineering",Murata Electronics,"Intern, Software Engineering - Summer 2026 Location: US pSemi Corporation is a Murata company driving semiconductor integration. pSemi builds on Peregrine Semiconductor\'s 30-year legacy of technology...",Carrollton,"Carrollton, TX",https://talents.vaia.com/companies/murata-electronics/carrollton/intern-software-engineering-summer-2026-94974355/
cm0ybDV0WDZhQi1MUFVERUFBQUFBQT09OkVzd0JDb3dCUVVwcFZEUjBTbEJ4ZFU0d2JFbGlVR0ZoU2kxWlJIcHhWbmxtYW5GTmQwMDVVVzF5YkRCbWNrRTNhM2xLTVhRNVNUbEJXVUYwTTJseFluVnJiVkEyZHpsT1pWOHdlR1phYmtnMlVsUm1SRk55VUZwR2RXeDVVa3RYYW5wRFNTMUhabE5XVjJsR1lrOXFTbEZ5Y0VKTE9HUm5SakpFU0RnMlRqWlBNalZRWDFWUlRIVmFOVmxHWDBzeU5sZ1NGMHR2V205aGRpMHpRVGR0V0hKMVJWQjNZMTltTFVGUkdpSkJSSE55T1daVGNVZG5NM28xTlhkV1dETkNWV3BZZWxWV1QxbGFVWGt5Tlc1Qg,Undergraduate Co-op Student – Software Engineer – Large Molecule Discovery - Technology,Amgen,"US - Texas - Dallas

JOB ID: R-250113 LOCATION: US - Texas - Dallas WORK LOCATION TYPE: Field Worker DATE POSTED: Jul. 15, 2026 CATEGORY: Sales SALARY RANGE: 141,767.25USD -191,802.75 USD

HOW MIGHT Y...",Dallas,"Dallas, TX",https://www.indeed.com/viewjob?jk=a42487bde6f1ee6f
MHhOLXpkQVR5Nk9IYkREdUFBQUFBQT09OkVzd0JDb3dCUVVwcFZEUjBTMHhXUXpWMVZXcFpWbTlSTWpoNlZEVnJVV1ZrYjNVMFZqUXRXRGRyYlhkelFVSmxiR2xmWDBsNFJsWkpVR1YxUmtOVU9IaENkbmMxTFZsc1pGbzRTMnBJYVVKcGRESkNWRzgzTmt0dFVsVnVOUzB4UmtGWVUyRk1RVGd5YUU5cFFURlpiMDFtU1RWSmJHZGFjbTR3YldaS2FsTjZlbU5pYkc5TFRqVnZRelpPWlhCRFVUY1NGMHR2V205aGRpMHpRVGR0V0hKMVJWQjNZMTltTFVGUkdpSkJSSE55T1daVE5Ua3RSWGR1TUhsV1puQm1lamhoTldwbk9XTkljSEYzY0ZGQg,Software Development Intern,Tyler Technologies,Software Development Intern,Plano,"Plano, TX",https://www.fastweb.com/career-planning/internships/170146-software-development-intern
dkd1eDI2QkNMVmw2al9wdkFBQUFBQT09OkVzd0JDb3dCUVVwcFZEUjBUSHBvTm1ack1EVTNORFJhU1V0TVFsTTVia0ZoZEZadWQydEZaRU5sTWpKME5FODRaVk52TlhWZmFrZE1kemRNWTFGaVVsa3RWRzFJYW1sVVZWcDVZbkpCYzE5V1RFUXhNMGhLYUd3NWJuaDJaSEZsV0doa2FscDVOa1Z0U1c5TFEyaDJNWEJaZDIwd2RHNXFMVmxyYjFodFJUWklRbmxRWW0xV1NtUjJVbkZvY0hsclVVZ1NGMHR2V205aGRpMHpRVGR0V0hKMVJWQjNZMTltTFVGUkdpSkJSSE55T1daVFNXMDVVMmgwWnpjelFtd3pNMmw1VVVGR1dXRlhTR1pTU0VGbg,Software Development Internship (Agentic AI tools),Samsung,"About the position

Samsung Electronics America, Inc. is now accepting applications for its Summer 2026 Intern Program. This exciting opportunity offers a paid, 10-week experience for selected undergr...",Plano,"Plano, TX",https://www.tealhq.com/job/software-development-internship-agentic-ai-tools_7ea1a99f018e9cf8078fc64d13cded11ef606
ZHpRYV9vZElqb2EwVHNGTUFBQUFBQT09OkVzd0JDb3dCUVVwcFZEUjBTM1ZuVVZoSWRraDVjV1I0VlZVNE1GbFZhelZXUlZKaFJUYzRZMlV5Ym5KaU5FZDZaRzlxYTJKa00zZEtUV2hEVURVdE1UTlJTbWs0ZVhadVRXcERiazgzZEhGa2NXbEZWVXB2UjBrMFNVeDBkVTkxU210cldETTRUbkoxVEd4TlZsUjVZbTh0ZUMxMFdEUnNlSFpTY1dabldteG1SbmcyZGxKaWFtRkxXbEUzYVhBd1ZqQVNGMHR2V205aGRpMHpRVGR0V0hKMVJWQjNZMTltTFVGUkdpSkJSSE55T1daVWJscGZaM2xvUkVOaGVWSllkRFpxWW5wZlNtSnVURWxrVTJGMw,"Graduate Intern, Software Engineer (AI Transformation, Java, Cloud Platforms)",Cotality,"About the position

At Cotality, we are driven by a single mission—to make the property industry faster, smarter, and more people-centric. Cotality is the trusted source for property intelligence, wit...",Dallas,"Dallas, TX",https://www.tealhq.com/job/graduate-intern-software-engineer_7ea1ab5ad5af1054e94e9c96c6d7d84695ae8
SXlWa21LODJqMFR4NlhrZ0FBQUFBQT09OkVzd0JDb3dCUVVwcFZEUjBURzlGVEc5U2VHaE9XbGh2VjFodFpVbzBRVEZ2V2tOa2RFTjRNak5QUWpOeGFuTmtSVTA0WkdoRFlYSnJUR1IxVWtSVFpFRlFkMjlmUjBGdlNWUkNhbU56TUV0Q01ubDZVMkpxT0U5U2RVTk1hMDlxUTI5NFUycDFUVmM1TjFvMWRsOUtURTh0VkdSYWRXRjNRbXRtYjFkNU1Fa3lUbEJxTlZaV01YcDRiV1ozYWt4SVdrWVNGMHR2V205aGRpMHpRVGR0V0hKMVJWQjNZMTltTFVGUkdpSkJSSE55T1daVVl5MDVTRGd0YzNKRFEyc3RWVzFqVFhFeVdIazRZa05wWjBsbg,Summer Job – Software Configuration for Customer Projects,Luminator Technology Group,"​

Luminator Technology Group is the preferred global provider of high quality transportation solutions.
Our products enhance operational efficiency, passenger counting accuracy, safety, route schedul...",Plano,"Plano, TX",https://luminatortechnologygroup.applytojob.com/apply/SEl9nn97s1/Summer-Job-Software-Configuration-For-Customer-Projects
